installation_date,PV_system_size_DC,total_installed_price,rebate_or_grant,customer_segment,state,zip_code,utility_service_territory,third_party_owned,installer_name,tracking,ground_mounted,azimuth_1,tilt_1,module_manufacturer_1,module_model_1,module_quantity_1,technology_module_1,efficiency_module_1,inverter_manufacturer_1,inverter_model_1,output_capacity_inverter_1,inverter_loading_ratio,battery_rated_capacity_kWh,price_per_watt
09-07-2014,7,17500,4294,RES,CA,92314,bear valley electric,0,Scc Solar Energy,,,,,SunEdison,MEMC-F265KzC-2y,14,Mono-c-Si,0.16125107,-1,-1,,,,2.5
04-02-2015,6.6,31000,5418,RES,CA,92315,bear valley electric,0,Suntricity,,,,,American Solar Wholesale,ASW-275M,24,Mono-c-Si,0.14215854,Enphase Energy Inc.,m250-60-2ll-s2x (-zc) (-na) [240v],0.24,1.1458334,,4.696969697
04-02-2015,4.4,21000,5655,RES,CA,92315,bear valley electric,0,Suntricity,,,,,American Solar Wholesale,ASW-275M,16,Mono-c-Si,0.14215854,Enphase Energy Inc.,m250-60-2ll-s2x (-zc) (-na) [240v],0.24,1.1458334,,4.772727273
17-09-2014,4.104,31360,2797,RES,CA,92315,bear valley electric,0,Leonard Roofing,,,,,BIPV,BIPV054-S86,76,-1,,SMA America,sb3000tl-us-22,3.05,0.6727869,,7.641325536
13-02-2014,4.5,20000,6216,RES,CA,92314,bear valley electric,0,Steve Cooper Construction,,,,,Jiangyin Hareon Power,HR-250P-AC/Bb,18,Multi-c-Si,0.15404409,Enphase Energy Inc.,m215-60-2ll-s2x,0.215,1.1627907,,4.444444444
08-01-2015,6.48,26500,7304,RES,CA,92315,bear valley electric,0,Steve Cooper Construction,,,,,-1,-1,24,-1,,Enphase Energy Inc.,m215-60-2ll-s2x,0.215,1.255814,,4.089506173
22-08-2014,8.64,34500,11853,RES,CA,92315,bear valley electric,0,Steve Cooper Construction,,,,,-1,-1,32,-1,,-1,-1,,,,3.993055556
02-02-2015,3.575,16594,4360,RES,CA,92315,bear valley electric,0,Petersendean,,,,,Centrosolar America,E275,13,Multi-c-Si,0.15814668,-1,-1,,,,4.641678322
17-03-2015,6,14714,5819,RES,CA,92314,bear valley electric,0,Tesla,,,,,Grape Solar,GS-S-250-Fab5,24,Mono-c-Si,0.12883942,Enphase Energy Inc.,m215-60-2ll-s2x [208v],0.215,1.1627907,,2.452333333
17-03-2015,8.16,34400,8270,RES,CA,92315,bear valley electric,0,Sungevity,,,,,REC Solar,REC255PE2 BLK,32,Multi-c-Si,0.160794,Enphase Energy Inc.,m215-60-2ll-s2x [208v],0.215,1.1860465,,4.215686275
23-02-2015,2.5,12875,3025,RES,CA,92314,bear valley electric,0,Solarmax,,,,,SMX Capital,SMX250P,10,Multi-c-Si,0.15397881,SMA America,sb3000tl-us-22 [240v],3.05,0.8196721,,5.15
19-02-2015,5.25,27563,5769,RES,CA,92333,bear valley electric,0,R E Pierro Construction,,,,,Stion,STN-150,35,Thin Film,0.13807882,SolarEdge Technologies Ltd.,se5000 [240v],4.99,1.0521042,,5.250095238
05-03-2015,9.94,64400,9883,RES,CA,92314,bear valley electric,0,R E Pierro Construction,,,,,Stion,STL-140,71,Thin Film,0.12887357,SolarEdge Technologies Ltd.,se7600a-us [240v],7.625,1.3036065,,6.478873239
31-10-2014,4.8,20000,6537,RES,CA,92314,bear valley electric,0,Steve Cooper Construction,,,,,-1,-1,18,-1,,-1,-1,,,,4.166666667
25-08-2014,8.1,31000,11113,RES,CA,92333,bear valley electric,0,Steve Cooper Construction,,,,,-1,-1,30,-1,,-1,-1,,,,3.827160494
